"Subject" "Activity" "Variable" "MeanValue"
1 "SITTING" "TimeBodyGyroscopeMeanZ" 0.0629313811914894
1 "SITTING" "TimeBodyGyroscopeStdDeviationX" -0.977211283191489
1 "SITTING" "TimeBodyGyroscopeStdDeviationY" -0.966473895319149
1 "SITTING" "TimeBodyGyroscopeStdDeviationZ" -0.941425920851064
1 "SITTING" "TimeBodyGyroscopeJerkMeanX" -0.0936793807234043
1 "SITTING" "TimeBodyGyroscopeJerkMeanY" -0.0402118124255319
1 "SITTING" "TimeBodyGyroscopeJerkMeanZ" -0.046702627
1 "SITTING" "TimeBodyGyroscopeJerkStdDeviationX" -0.99173159212766
1 "SITTING" "TimeBodyGyroscopeJerkStdDeviationY" -0.989518068510638
1 "SITTING" "TimeBodyGyroscopeJerkStdDeviationZ" -0.987935806382979
1 "SITTING" "TimeBodyAccelerationMagnitudeMean" -0.948536786170213
1 "SITTING" "TimeBodyAccelerationMagnitudeStdDeviation" -0.927078418723404
1 "SITTING" "TimeGravityAccelerationMagnitudeMean" -0.948536786170213
1 "SITTING" "TimeGravityAccelerationMagnitudeStdDeviation" -0.927078418723404
1 "SITTING" "TimeBodyAccelerationJerkMagnitudeMean" -0.987364195531915
1 "SITTING" "TimeBodyAccelerationJerkMagnitudeStdDeviation" -0.984120024042553
1 "SITTING" "TimeBodyGyroscopeMagnitudeMean" -0.93089249
1 "SITTING" "TimeBodyGyroscopeMagnitudeStdDeviation" -0.934531840425532
1 "SITTING" "TimeBodyGyroscopeJerkMagnitudeMean" -0.991976341276596
1 "SITTING" "TimeBodyGyroscopeJerkMagnitudeStdDeviation" -0.988308728510638
1 "SITTING" "FrequencyBodyAccelerationMeanX" -0.979641238723404
1 "SITTING" "FrequencyBodyAccelerationMeanY" -0.944084550425532
1 "SITTING" "FrequencyBodyAccelerationMeanZ" -0.959184889148936
1 "SITTING" "FrequencyBodyAccelerationStdDeviationX" -0.976412313191489
1 "SITTING" "FrequencyBodyAccelerationStdDeviationY" -0.917275006382979
1 "SITTING" "FrequencyBodyAccelerationStdDeviationZ" -0.934469558085106
1 "SITTING" "FrequencyBodyAccelerationJerkMeanX" -0.986597022553191
1 "SITTING" "FrequencyBodyAccelerationJerkMeanY" -0.981579467021277
1 "SITTING" "FrequencyBodyAccelerationJerkMeanZ" -0.986053092340425
1 "SITTING" "FrequencyBodyAccelerationJerkStdDeviationX" -0.987492994468085
1 "SITTING" "FrequencyBodyAccelerationJerkStdDeviationY" -0.982513909574468
1 "SITTING" "FrequencyBodyAccelerationJerkStdDeviationZ" -0.988339184893617
1 "SITTING" "FrequencyBodyGyroscopeMeanX" -0.976161464042553
1 "SITTING" "FrequencyBodyGyroscopeMeanY" -0.975838585319149
1 "SITTING" "FrequencyBodyGyroscopeMeanZ" -0.951315544468085
1 "SITTING" "FrequencyBodyGyroscopeStdDeviationX" -0.977904227021277
1 "SITTING" "FrequencyBodyGyroscopeStdDeviationY" -0.962345042553192
1 "SITTING" "FrequencyBodyGyroscopeStdDeviationZ" -0.94391784106383
1 "SITTING" "FrequencyBodyAccelerationMagnitudeMean" -0.947782922553192
1 "SITTING" "FrequencyBodyAccelerationMagnitudeStdDeviation" -0.928444801702128
1 "SITTING" "FrequencyBodyBodyAccelerationJerkMagnitudeMean" -0.985262126808511
1 "SITTING" "FrequencyBodyBodyAccelerationJerkMagnitudeStdDeviation" -0.981606177446808
1 "SITTING" "FrequencyBodyBodyGyroscopeMagnitudeMean" -0.958435589361702
1 "SITTING" "FrequencyBodyBodyGyroscopeMagnitudeStdDeviation" -0.932198374893617
1 "SITTING" "FrequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.989797547234043
1 "SITTING" "FrequencyBodyBodyGyroscopeJerkMagnitudeStdDeviation" -0.987049617234043
1 "STANDING" "TimeBodyAccelerationMeanX" 0.278917629056604
1 "STANDING" "TimeBodyAccelerationMeanY" -0.0161375901037736
1 "STANDING" "TimeBodyAccelerationMeanZ" -0.110601817735849
1 "STANDING" "TimeBodyAccelerationStdDeviationX" -0.995759901509434
1 "STANDING" "TimeBodyAccelerationStdDeviationY" -0.973190056415094
1 "STANDING" "TimeBodyAccelerationStdDeviationZ" -0.979775876981132
1 "STANDING" "TimeGravityAccelerationMeanX" 0.942952000377358
1 "STANDING" "TimeGravityAccelerationMeanY" -0.272983832264151
1 "STANDING" "TimeGravityAccelerationMeanZ" 0.0134905823226415
1 "STANDING" "TimeGravityAccelerationStdDeviationX" -0.99376298509434
1 "STANDING" "TimeGravityAccelerationStdDeviationY" -0.981225957924528
1 "STANDING" "TimeGravityAccelerationStdDeviationZ" -0.976324063584906
1 "STANDING" "TimeBodyAccelerationJerkMeanX" 0.0753766542264151
1 "STANDING" "TimeBodyAccelerationJerkMeanY" 0.00797573092830189
1 "STANDING" "TimeBodyAccelerationJerkMeanZ" -0.00368524954709434
1 "STANDING" "TimeBodyAccelerationJerkStdDeviationX" -0.994604542264151
1 "STANDING" "TimeBodyAccelerationJerkStdDeviationY" -0.98564873245283
1 "STANDING" "TimeBodyAccelerationJerkStdDeviationZ" -0.992251177358491
1 "STANDING" "TimeBodyGyroscopeMeanX" -0.0239877347979245
1 "STANDING" "TimeBodyGyroscopeMeanY" -0.0593972209811321
1 "STANDING" "TimeBodyGyroscopeMeanZ" 0.074800751
1 "STANDING" "TimeBodyGyroscopeStdDeviationX" -0.987191946603774
1 "STANDING" "TimeBodyGyroscopeStdDeviationY" -0.98773444
1 "STANDING" "TimeBodyGyroscopeStdDeviationZ" -0.980645626981132
1 "STANDING" "TimeBodyGyroscopeJerkMeanX" -0.0996092129056604
1 "STANDING" "TimeBodyGyroscopeJerkMeanY" -0.0440627877924528
1 "STANDING" "TimeBodyGyroscopeJerkMeanZ" -0.0489505466716981
1 "STANDING" "TimeBodyGyroscopeJerkStdDeviationX" -0.992945106981132
1 "STANDING" "TimeBodyGyroscopeJerkStdDeviationY" -0.995137917358491
1 "STANDING" "TimeBodyGyroscopeJerkStdDeviationZ" -0.992108467169811
1 "STANDING" "TimeBodyAccelerationMagnitudeMean" -0.984278207358491
1 "STANDING" "TimeBodyAccelerationMagnitudeStdDeviation" -0.981942928867925
1 "STANDING" "TimeGravityAccelerationMagnitudeMean" -0.984278207358491
1 "STANDING" "TimeGravityAccelerationMagnitudeStdDeviation" -0.981942928867925
1 "STANDING" "TimeBodyAccelerationJerkMagnitudeMean" -0.992367790566038
1 "STANDING" "TimeBodyAccelerationJerkMagnitudeStdDeviation" -0.993096209433962
1 "STANDING" "TimeBodyGyroscopeMagnitudeMean" -0.976493792830189
1 "STANDING" "TimeBodyGyroscopeMagnitudeStdDeviation" -0.978690028679245
1 "STANDING" "TimeBodyGyroscopeJerkMagnitudeMean" -0.994966790566038
1 "STANDING" "TimeBodyGyroscopeJerkMagnitudeStdDeviation" -0.994733238679245
1 "STANDING" "FrequencyBodyAccelerationMeanX" -0.995249932641509
1 "STANDING" "FrequencyBodyAccelerationMeanY" -0.977070847735849
1 "STANDING" "FrequencyBodyAccelerationMeanZ" -0.985297098679245
1 "STANDING" "FrequencyBodyAccelerationStdDeviationX" -0.99602834509434
1 "STANDING" "FrequencyBodyAccelerationStdDeviationY" -0.972293102075472
1 "STANDING" "FrequencyBodyAccelerationStdDeviationZ" -0.977937259622642
1 "STANDING" "FrequencyBodyAccelerationJerkMeanX" -0.994630797358491
1 "STANDING" "FrequencyBodyAccelerationJerkMeanY" -0.985418704528302
1 "STANDING" "FrequencyBodyAccelerationJerkMeanZ" -0.990752166037736
1 "STANDING" "FrequencyBodyAccelerationJerkStdDeviationX" -0.995073759245283
1 "STANDING" "FrequencyBodyAccelerationJerkStdDeviationY" -0.987018226792453
1 "STANDING" "FrequencyBodyAccelerationJerkStdDeviationZ" -0.992349818113208
1 "STANDING" "FrequencyBodyGyroscopeMeanX" -0.986386786037736
1 "STANDING" "FrequencyBodyGyroscopeMeanY" -0.988984455849057
1 "STANDING" "FrequencyBodyGyroscopeMeanZ" -0.980773122830189
1 "STANDING" "FrequencyBodyGyroscopeStdDeviationX" -0.987497128679245
1 "STANDING" "FrequencyBodyGyroscopeStdDeviationY" -0.987107727735849
1 "STANDING" "FrequencyBodyGyroscopeStdDeviationZ" -0.98234533
1 "STANDING" "FrequencyBodyAccelerationMagnitudeMean" -0.985356361132075
1 "STANDING" "FrequencyBodyAccelerationMagnitudeStdDeviation" -0.982313804716981
1 "STANDING" "FrequencyBodyBodyAccelerationJerkMagnitudeMean" -0.99254247754717
1 "STANDING" "FrequencyBodyBodyAccelerationJerkMagnitudeStdDeviation" -0.992536003396226
1 "STANDING" "FrequencyBodyBodyGyroscopeMagnitudeMean" -0.984617623396226
1 "STANDING" "FrequencyBodyBodyGyroscopeMagnitudeStdDeviation" -0.978466072075472
1 "STANDING" "FrequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.994815376981132
1 "STANDING" "FrequencyBodyBodyGyroscopeJerkMagnitudeStdDeviation" -0.994671123207547
1 "WALKING" "TimeBodyAccelerationMeanX" 0.277330758736842
1 "WALKING" "TimeBodyAccelerationMeanY" -0.0173838185273684
1 "WALKING" "TimeBodyAccelerationMeanZ" -0.111148103547368
1 "WALKING" "TimeBodyAccelerationStdDeviationX" -0.283740258842105
1 "WALKING" "TimeBodyAccelerationStdDeviationY" 0.114461336747368
1 "WALKING" "TimeBodyAccelerationStdDeviationZ" -0.260027902210526
1 "WALKING" "TimeGravityAccelerationMeanX" 0.935223201473684
1 "WALKING" "TimeGravityAccelerationMeanY" -0.282165021263158
1 "WALKING" "TimeGravityAccelerationMeanZ" -0.068102864
1 "WALKING" "TimeGravityAccelerationStdDeviationX" -0.976609642526316
1 "WALKING" "TimeGravityAccelerationStdDeviationY" -0.971305961473684
1 "WALKING" "TimeGravityAccelerationStdDeviationZ" -0.947717226105263
1 "WALKING" "TimeBodyAccelerationJerkMeanX" 0.0740416333157895
1 "WALKING" "TimeBodyAccelerationJerkMeanY" 0.0282721095884211
1 "WALKING" "TimeBodyAccelerationJerkMeanZ" -0.00416840617789474
1 "WALKING" "TimeBodyAccelerationJerkStdDeviationX" -0.113615602435789
1 "WALKING" "TimeBodyAccelerationJerkStdDeviationY" 0.0670025007684211
1 "WALKING" "TimeBodyAccelerationJerkStdDeviationZ" -0.502699788526316
1 "WALKING" "TimeBodyGyroscopeMeanX" -0.041830963526
1 "WALKING" "TimeBodyGyroscopeMeanY" -0.0695300462115789
1 "WALKING" "TimeBodyGyroscopeMeanZ" 0.0849448173042105
1 "WALKING" "TimeBodyGyroscopeStdDeviationX" -0.473535485894737
1 "WALKING" "TimeBodyGyroscopeStdDeviationY" -0.0546077686594737
1 "WALKING" "TimeBodyGyroscopeStdDeviationZ" -0.344266629473684
1 "WALKING" "TimeBodyGyroscopeJerkMeanX" -0.0899975423705263
1 "WALKING" "TimeBodyGyroscopeJerkMeanY" -0.0398428709463158
1 "WALKING" "TimeBodyGyroscopeJerkMeanZ" -0.0461309295021053
1 "WALKING" "TimeBodyGyroscopeJerkStdDeviationX" -0.207421854757895
1 "WALKING" "TimeBodyGyroscopeJerkStdDeviationY" -0.304468510631579
1 "WALKING" "TimeBodyGyroscopeJerkStdDeviationZ" -0.404255452631579
1 "WALKING" "TimeBodyAccelerationMagnitudeMean" -0.136971176556842
1 "WALKING" "TimeBodyAccelerationMagnitudeStdDeviation" -0.219688645631579
1 "WALKING" "TimeGravityAccelerationMagnitudeMean" -0.136971176556842
1 "WALKING" "TimeGravityAccelerationMagnitudeStdDeviation" -0.219688645631579
1 "WALKING" "TimeBodyAccelerationJerkMagnitudeMean" -0.141428809031579
1 "WALKING" "TimeBodyAccelerationJerkMagnitudeStdDeviation" -0.0744717500625263
1 "WALKING" "TimeBodyGyroscopeMagnitudeMean" -0.160979552536842
1 "WALKING" "TimeBodyGyroscopeMagnitudeStdDeviation" -0.186978364526316
1 "WALKING" "TimeBodyGyroscopeJerkMagnitudeMean" -0.298703679084211
1 "WALKING" "TimeBodyGyroscopeJerkMagnitudeStdDeviation" -0.325324878894737
1 "WALKING" "FrequencyBodyAccelerationMeanX" -0.202794306326316
1 "WALKING" "FrequencyBodyAccelerationMeanY" 0.0897127264021053
1 "WALKING" "FrequencyBodyAccelerationMeanZ" -0.331560117789474
1 "WALKING" "FrequencyBodyAccelerationStdDeviationX" -0.319134719578947
1 "WALKING" "FrequencyBodyAccelerationStdDeviationY" 0.056040006846
1 "WALKING" "FrequencyBodyAccelerationStdDeviationZ" -0.279686751494737
1 "WALKING" "FrequencyBodyAccelerationJerkMeanX" -0.170546964549579
1 "WALKING" "FrequencyBodyAccelerationJerkMeanY" -0.0352255241130632
1 "WALKING" "FrequencyBodyAccelerationJerkMeanZ" -0.468999224631579
1 "WALKING" "FrequencyBodyAccelerationJerkStdDeviationX" -0.133586606326316
1 "WALKING" "FrequencyBodyAccelerationJerkStdDeviationY" 0.106739857136
1 "WALKING" "FrequencyBodyAccelerationJerkStdDeviationZ" -0.534713440421053
1 "WALKING" "FrequencyBodyGyroscopeMeanX" -0.339032197115789
1 "WALKING" "FrequencyBodyGyroscopeMeanY" -0.103059416434737
1 "WALKING" "FrequencyBodyGyroscopeMeanZ" -0.255940940315789
1 "WALKING" "FrequencyBodyGyroscopeStdDeviationX" -0.516691938736842
1 "WALKING" "FrequencyBodyGyroscopeStdDeviationY" -0.0335081597884211
1 "WALKING" "FrequencyBodyGyroscopeStdDeviationZ" -0.436562227473684
1 "WALKING" "FrequencyBodyAccelerationMagnitudeMean" -0.128623450629474
1 "WALKING" "FrequencyBodyAccelerationMagnitudeStdDeviation" -0.398032586842105
1 "WALKING" "FrequencyBodyBodyAccelerationJerkMagnitudeMean" -0.0571194000343158
1 "WALKING" "FrequencyBodyBodyAccelerationJerkMagnitudeStdDeviation" -0.103492403002105
1 "WALKING" "FrequencyBodyBodyGyroscopeMagnitudeMean" -0.199252568986316
1 "WALKING" "FrequencyBodyBodyGyroscopeMagnitudeStdDeviation" -0.321017953894737
1 "WALKING" "FrequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.319308593778947
1 "WALKING" "FrequencyBodyBodyGyroscopeJerkMagnitudeStdDeviation" -0.381601911789474
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationMeanX" 0.289188320408163
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationMeanY" -0.00991850461020408
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationMeanZ" -0.107566190908163
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationStdDeviationX" 0.0300353383483878
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationStdDeviationY" -0.0319359434489796
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationStdDeviationZ" -0.230434213204082
1 "WALKING_DOWNSTAIRS" "TimeGravityAccelerationMeanX" 0.931874418979592
1 "WALKING_DOWNSTAIRS" "TimeGravityAccelerationMeanY" -0.266610338979592
1 "WALKING_DOWNSTAIRS" "TimeGravityAccelerationMeanZ" -0.0621199585938775
1 "WALKING_DOWNSTAIRS" "TimeGravityAccelerationStdDeviationX" -0.950559811632653
1 "WALKING_DOWNSTAIRS" "TimeGravityAccelerationStdDeviationY" -0.937018658979592
1 "WALKING_DOWNSTAIRS" "TimeGravityAccelerationStdDeviationZ" -0.895939695102041
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationJerkMeanX" 0.0541553164897959
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationJerkMeanY" 0.0296504490408163
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationJerkMeanZ" -0.0109719730183673
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationJerkStdDeviationX" -0.012283860544898
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationJerkStdDeviationY" -0.101601390640816
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationJerkStdDeviationZ" -0.345735032326531
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeMeanX" -0.0350781902989796
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeMeanY" -0.0909371290204082
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeMeanZ" 0.0900850142030612
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeStdDeviationX" -0.458030542938775
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeStdDeviationY" -0.126349194938775
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeStdDeviationZ" -0.124702454242857
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeJerkMeanX" -0.0739592036271429
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeJerkMeanY" -0.0439902783367347
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeJerkMeanZ" -0.0270461061061224
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeJerkStdDeviationX" -0.487027342244898
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeJerkStdDeviationY" -0.238824827530612
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeJerkStdDeviationZ" -0.268761480242857
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationMagnitudeMean" 0.0271882914106122
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationMagnitudeStdDeviation" 0.0198843506265306
1 "WALKING_DOWNSTAIRS" "TimeGravityAccelerationMagnitudeMean" 0.0271882914106122
1 "WALKING_DOWNSTAIRS" "TimeGravityAccelerationMagnitudeStdDeviation" 0.0198843506265306
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationJerkMagnitudeMean" -0.0894474807979592
1 "WALKING_DOWNSTAIRS" "TimeBodyAccelerationJerkMagnitudeStdDeviation" -0.0257877197081633
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeMagnitudeMean" -0.0757412543673469
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeMagnitudeStdDeviation" -0.225724368061224
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeJerkMagnitudeMean" -0.295463843346939
1 "WALKING_DOWNSTAIRS" "TimeBodyGyroscopeJerkMagnitudeStdDeviation" -0.306510645530612
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccelerationMeanX" 0.0382291831510204
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccelerationMeanY" 0.00154990783591837
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccelerationMeanZ" -0.225574471693878
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccelerationStdDeviationX" 0.0243308391387755
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccelerationStdDeviationY" -0.112963739953061
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccelerationStdDeviationZ" -0.297927894693878
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccelerationJerkMeanX" -0.0276638676122449
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccelerationJerkMeanY" -0.12866715764898
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccelerationJerkMeanZ" -0.288334735714286
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccelerationJerkStdDeviationX" -0.0863278966402041
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccelerationJerkStdDeviationY" -0.134580008877551
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccelerationJerkStdDeviationZ" -0.401721464285714
1 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroscopeMeanX" -0.352449631363265
1 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroscopeMeanY" -0.0557022524693878
1 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroscopeMeanZ" -0.0318694271979592
1 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroscopeStdDeviationX" -0.495422486102041
1 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroscopeStdDeviationY" -0.181414728657143
1 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroscopeStdDeviationZ" -0.238443565306122
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccelerationMagnitudeMean" 0.0965845343040816
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccelerationMagnitudeStdDeviation" -0.186530301073469
1 "WALKING_DOWNSTAIRS" "FrequencyBodyBodyAccelerationJerkMagnitudeMean" 0.0262184949326531
1 "WALKING_DOWNSTAIRS" "FrequencyBodyBodyAccelerationJerkMagnitudeStdDeviation" -0.104052260726531
1 "WALKING_DOWNSTAIRS" "FrequencyBodyBodyGyroscopeMagnitudeMean" -0.185720285744898
1 "WALKING_DOWNSTAIRS" "FrequencyBodyBodyGyroscopeMagnitudeStdDeviation" -0.398350390122449
1 "WALKING_DOWNSTAIRS" "FrequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.281963359177551
1 "WALKING_DOWNSTAIRS" "FrequencyBodyBodyGyroscopeJerkMagnitudeStdDeviation" -0.391919876612245
1 "WALKING_UPSTAIRS" "TimeBodyAccelerationMeanX" 0.255461689622641
1 "WALKING_UPSTAIRS" "TimeBodyAccelerationMeanY" -0.0239531492643396
1 "WALKING_UPSTAIRS" "TimeBodyAccelerationMeanZ" -0.0973020020943396
1 "WALKING_UPSTAIRS" "TimeBodyAccelerationStdDeviationX" -0.35470802509434
